Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Sector,Analyst Rating,Exponential Moving Average (8) 1 week,Exponential Moving Average (13) 1 week,Exponential Moving Average (21) 1 week,Change from Open % 1 week,Performance % 1 month,Performance % YTD,SMA 5,SMA 20,SMA 50,SMA 200,PE Ratio TTM,EPS Forecast Next Qtr,EPS Growth YoY TTM
AAPL,Apple Inc.,333.43,USD,-1.407492829474553,72345165,1.426160098015682,4897205294913.617,USD,Electronic technology,Strong buy,317.8068980804303,308.77649776019854,298.2089931309405,-0.3317988880253523,18.586620194188566,22.4697434390553,336.3260000000003,324.3529999999999,309.3005999999999,277.65449999999987,40.335087400955665,2.013876,29.004822172630675
NVDA,NVIDIA Corporation,195.04,USD,2.6472290932056217,128234579,1.0109877506923242,4719967863545.907,USD,Electronic technology,Strong buy,202.33056028294047,201.94066449769002,199.462155896673,-6.320845341018251,-1.1153924153315844,2.741854768614841,197.08199999999988,203.00049999999993,206.5715999999998,193.05025000000006,29.86921498361359,2.081543,110.33338701884364
GOOG,Alphabet Inc.,333.68,USD,-0.6194901119847462,17225106,0.7687899944354223,4087234798517.36,USD,Technology services,Strong buy,343.79475098264766,345.8735616122194,341.43140190569386,2.7529716080556743,-4.923638021426936,5.066280424446624,329.5400000000001,346.91650000000004,357.2685999999999,324.94894999999997,16.76337457862981,3.016728,112.01789423230548
GOOGL,Alphabet Inc.,333.66,USD,-0.9058240028511048,30016905,0.8992984236726057,4075458708375.9165,USD,Technology services,Strong buy,345.1646269445014,347.48703683912896,342.9920439174929,2.6519812946098953,-5.709804586494845,5.288734616598312,330.0759999999999,348.24299999999994,359.3683999999997,325.71275000000014,16.762369821102922,3.01811,112.01789423230548
MSFT,Microsoft Corporation,451.1,USD,15.506734265376146,109905002,2.8311201991915396,3350966907986.0483,USD,Technology services,Strong buy,404.57526764905907,404.0985181172759,408.6361826895787,15.642945036915515,21.580465191493964,-6.871600070192093,401.15799999999996,393.15449999999964,398.4590000000002,433.8297500000005,25.1373611064674,4.707524,31.54908515130189
AMZN,"Amazon.com, Inc.",235.5,USD,3.904698874917271,100143018,2.2813580729918628,2533299189593.0903,USD,Retail trade,Strong buy,241.16239857987776,242.20376953042413,240.84555724586727,-0.07001463942460359,-0.7794396460922665,1.7982190714964972,231.3020000000002,242.41249999999982,246.38420000000028,234.75465000000014,28.14393441447471,1.93254,36.47513577870922
AVGO,Broadcom Inc.,387.84,USD,4.731043421905374,23577667,1.260302765155507,1845179893994.3174,USD,Electronic technology,Strong buy,385.39979703039404,385.25813037251424,380.0849036518926,-0.5066505906648083,3.4819498919394736,9.939763305222876,380.842,383.28824999999966,395.74309999999946,365.7824000000001,64.56467454636258,3.214123,125.81008946695735
META,"Meta Platforms, Inc.",539.03,USD,-7.95409914448183,42118752,2.5187948357793686,1368286183465.3228,USD,Technology services,Strong buy,594.3164859690366,600.3927798279327,609.092193849766,-11.229867263924122,-3.905943594680372,-18.66460447395225,581.4219999999999,622.1125000000004,603.1021000000002,635.2820750000003,20.301224784947046,6.869507,-3.8431452080194677
TSLA,"Tesla, Inc.",308.85,USD,3.5297666934835172,37791918,0.8063184541546136,1219817808500.2048,USD,Consumer durables,Buy,362.41236236128805,375.02417639920816,384.5431644344085,-1.4014812922998297,-23.928571428571423,-32.53604193971166,307.37199999999945,368.0425000000002,392.61859999999956,412.2231250000002,286.9553098578463,0.472349,-37.67083622886263
LLY,Eli Lilly and Company,1154.97,USD,-4.549511578321016,3027242,1.3694100069858302,1087683075434.1372,USD,Health technology,Strong buy,1157.3998676112094,1128.2547675591602,1091.2511606242547,-3.8326394671107384,-6.014419634138409,7.299331103678923,1195.8419999999996,1188.0304999999998,1144.7743999999998,1023.1484499999996,41.57409740470106,6.006055,130.14091274344932
BRK.A,Berkshire Hathaway Inc.,764990.01,USD,0.23887432239601677,82,0.4778554778554779,990412895991.4983,USD,Finance,Buy,744899.4949351053,740121.376163834,737046.9968590434,2.68322419709026,2.959624495289369,1.9986680000000012,757401.4019999995,745962.7735000001,735807.7242000008,735492.5581500003,15.18145920733292,7553.164543,-10.480948284775364
BRK.B,Berkshire Hathaway Inc. New,509.68,USD,0.10212899677900499,4052612,0.9556011333717513,989061780120.8027,USD,Finance,Buy,496.47267716583775,493.3589476335307,491.2991165085342,2.4997486173956776,2.654582074521653,1.7406579367614237,504.66399999999993,497.3544999999992,490.7558,490.29554999999993,15.172118166771845,5.037961,-10.480916050876308
MU,"Micron Technology, Inc.",874.66,USD,18.357239512855205,61710276,1.2285440964102468,987834939462.6316,USD,Electronic technology,Strong buy,911.5948935042312,863.4833272301134,771.8617696525224,-6.197148357275772,-23.592462851502102,196.3693350275307,851.068,919.3145000000001,962.3593999999997,514.9514000000003,19.801186721935338,31.159531,697.287150515315
JPM,JP Morgan Chase & Co.,350.85,USD,1.7812073917205893,7606018,0.953646842339969,940106577562.2657,USD,Finance,Buy,337.1372009917562,329.5614906044453,322.36606079550535,-1.967084858476058,6.677004469579506,8.790697674418611,352.4559999999998,343.3520000000002,326.56439999999986,311.6346500000004,15.030201773550958,5.797032,19.772185022704537
JPM/PD,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 5.75% Non-Cumulative Preferred Stock, Series DD",24.05,USD,0.41753653444677,99390,0.8215251321887582,923654377516.0,USD,Finance,,24.02488088465475,24.10826050317804,24.244294719030393,0.88087248322148,0,-3.645833333333334,23.93,23.981999999999935,23.992200000000025,24.658360500000008,1.030287452341173,5.797032,19.772185022704537
JPM/PC,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 6.00% Non-Cumulative Preferred Stock, Series EE",25.14,USD,0.2792181890706035,125309,1.0787230489255726,923654377516.0,USD,Finance,,25.206525581921206,25.20784585999522,25.20775417680119,0.39936102236422294,-0.43564356435643337,-0.0794912559618425,25.105999999999973,25.238499999999995,25.220600000000008,25.23548699999995,1.0769823930086107,5.797032,19.772185022704537
JPM/PJ,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of JPMorgan Chase & Co. 4.75% Non-Cumulative Preferred Stock, Series GG",19.27,USD,0.4692387904066729,61331,0.7282159179016136,923654377516.0,USD,Finance,,19.272816914007176,19.357282824642855,19.51368676508416,0.4692387904066729,-0.1554404145077779,-5.027106949236075,19.18399999999995,19.247000000000035,19.226308000000053,20.014961500000084,0.8255151437261705,5.797032,19.772185022704537
JPM/PK,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 4.55% Non-Cumulative Preferred Stock, Series JJ",18.31,USD,0.825991189427305,160309,1.1877811374940632,923654377516.0,USD,Finance,,18.36417383297531,18.469088364178802,18.638195445125078,0.43883708173339714,-0.9199134199134291,-5.95788392398562,18.201999999999988,18.323499999999967,18.34819999999997,19.14820949999998,0.7843893244227391,5.797032,19.772185022704537
JPM/PL,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 4.625% Non-Cumulative Preferred Stock, Series LL",18.65,USD,0.6475984889368452,322105,1.3763482854880618,923654377516.0,USD,Finance,,18.690095667350622,18.791489627964754,18.957871345314697,0.539083557951471,-0.745077168706762,-5.329949238578684,18.538000000000046,18.636500000000005,18.662199999999952,19.453686999999995,0.7989547187593711,5.797032,19.772185022704537
JPM/PM,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 4.20% Non-Cumulative Preferred Stock, Series MM",17.2,USD,0.9389671361502356,207845,1.023182017555735,923654377516.0,USD,Finance,,17.188998866215197,17.30032460098774,17.480734927120853,1.17647058823529,0,-6.215921483097059,17.03600000000003,17.12749999999999,17.17200000000003,18.017875999999983,0.7368375958531466,5.797032,19.772185022704537
WMT,Walmart Inc.,111.1,USD,-2.731570653125551,28705089,1.2601936475909532,884142597632.7657,USD,Retail trade,Strong buy,114.18265299615545,116.335041274051,117.71726044780586,1.0735080058224096,-2.5182065455821747,-0.29167601525690184,111.92599999999996,112.16950000000006,116.09460000000014,117.95925,39.13763342375031,0.742054,21.780351780351772
AMD,"Advanced Micro Devices, Inc.",485.39,USD,12.997020206723157,36695193,1.2213018213493285,791477213909.4386,USD,Electronic technology,Strong buy,499.93524456006554,473.37252144411457,428.0505629877721,-7.983810579994505,-11.030665175871118,121.74052078574691,477.2940000000003,517.1422500000001,510.96540000000016,310.52475000000004,159.306180051856,1.615059,123.34701656648583
V,Visa Inc.,366.27,USD,-0.6671548287364837,8391169,1.1712776238889033,665237848302.266,USD,Finance,Strong buy,349.8227243198535,342.677676934549,336.9020861302866,1.9256991790733153,7.1716994382022445,4.687455340555057,363.9720000000002,357.5080000000003,339.72040000000044,330.18979999999976,31.4332792667542,3.438518,15.026505167767343
XOM,ExxonMobil Holdings Corporation,156.97,USD,0.14035087719298173,12102861,0.8465506591930603,650555190258.609,USD,Energy minerals,Buy,148.73175661236138,147.87874592655766,146.3650404396891,2.5478539230417496,15.01318874560376,30.71030060787742,155.69399999999996,147.49950000000018,146.53720000000013,138.93934999999993,26.487909417660855,3.555366,-21.597914957796423
ASMLF,ASML Holding N.V.,1646.718,USD,6.399126434405046,348,0.06887406733033824,629021227037.7529,USD,Electronic technology,Strong buy,1728.1136606883802,1690.5617231313,1613.23991702875,-5.615330649376853,-14.29610847068081,46.374933333333345,1641.3612000000012,1742.2881199999993,1745.9698280000002,1387.9665235000002,52.344585931348846,11.806091434030002,11.202880168603903
JNJ,Johnson & Johnson,255.82,USD,-3.6568372688585025,8213147,0.9773812582161985,616500215447.4364,USD,Health technology,Strong buy,252.0559996572187,247.33188084448093,241.26844143967278,-2.563321272138647,-1.2277992277992305,23.692099410115077,263.48600000000044,258.12500000000006,244.67440000000005,226.10687500000023,29.65066413222374,3.056017,-7.724064171122985
