Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,"Earnings per share diluted growth %, TTM YoY",Sector,Analyst Rating,Exponential Moving Average (8) 1 week,Exponential Moving Average (13) 1 week,Exponential Moving Average (21) 1 week,Change from Open % 1 week
EMOR,Healixa Inc.,0.04412,USD,-2.7765535478184162,5590,0.10789048054690244,33292280,USD,,Technology services,No rating,0.03336819591229446,0.027128432942767868,0.02277951170379304,-2.7765535478184162
CNF,CNFinance Holdings Limited,5.15,USD,6.185567010309293,240,0.07208506037123862,33262348.000000004,USD,,Finance,No rating,5.421924216711477,5.431980351268635,5.459171800350768,3.000000000000007
GTPS,"Great American Bancorp, Inc.",74.5,USD,9.558823529411764,100,0.21463833440652502,33078000.000000004,USD,-4.883624702596455,Finance,No rating,69.29189871229083,68.06421250840657,66.01468734796738,0
GBNY,"Generations Bancorp NY, Inc.",14.68,USD,-0.33944331296673935,242,0.07468905280701213,32909637.952477932,USD,-49.519088487718285,Finance,No rating,15.84617757884191,16.31986814206954,16.602600738050892,-0.47592575015931865
MSBM,MSB Global Capital Corp.,0.15,USD,-11.764705882352951,5000,1.0977671416339168,32899714,USD,,Finance,No rating,0.17174906404377507,0.1528039211038578,0.13937095607444502,0
BIOX,Bioceres Crop Solutions Corp.,0.52,USD,13.289760348583876,1003173,2.105745174046664,32878682.352941178,USD,-6776.086956521739,Process industries,No rating,0.7550240130988013,0.9576532222038416,1.296630420674894,-3.703703703703707
SDST,Stardust Power Inc.,3.33,USD,-2.346041055718477,46774,0.9509287891078668,32865627.37829912,USD,61.78114618766286,Process industries,Buy,3.5745229748879996,3.637310635866483,3.9320439121919235,-1.1869436201780426
FARM,Farmer Brothers Company,1.51,USD,1.342281879194632,159795,2.447645101799489,32808005.114093963,USD,-82.07129297616535,Consumer non-durables,Buy,1.538569597315427,1.554289981333859,1.5809089819748297,0.6666666666666672
JSDA,Jones Soda Co.,0.278,USD,-2.1815622800844414,203036,2.139700853304725,32712706.05207601,USD,44.4954128440367,Consumer non-durables,No rating,0.2908442716385252,0.28027438893457507,0.2633141029171014,-1.9746121297602233
IEHC,IEH Corp.,13.4,USD,-4.285714285714283,4350,1.8679950186799503,32584591.134250656,USD,-192.0718562874252,Electronic technology,No rating,12.557217347573888,11.8793161316112,11.177438760908759,-3.527717782577395
STI,"Solidion Technology, Inc.",4.16,USD,-1.4218009478672893,39296,0.27160198586834744,32222040.037914697,USD,98.03549999744678,Finance,No rating,5.5961568519525695,6.360566297984086,6.960493369232543,-1.1876484560570029
CDAB,Coeur D Alene Bancorp,17.02,USD,-0.7580174927113645,1477,0.6244451021012133,32185738,USD,,Finance,No rating,17.198291066963627,17.28642395797206,17.26876391661363,0
EZGO,EZGO Technologies Ltd.,1.54,USD,-1.9108280254777086,6073,0.5576163804976578,32162507.6433121,USD,83.69528057357408,Consumer services,No rating,1.7361911764146325,2.0164907134330092,2.7137826940418885,1.3157894736842117
AMFC,AMB Financial Corp.,33.22,USD,-0.27018913239268505,201,0.2180516380993708,32147392.99731103,USD,63.102073015733886,Finance,No rating,32.71354748332305,31.995131542105995,30.822170043260407,-0.3748687959214275
SSBP,SSB Bancorp Inc.,14.1,USD,8.37817063797079,2696,1.8850510418123338,32136592.94505494,USD,14.942243199602528,Finance,No rating,12.880978656323387,12.39192477159295,11.804991586165205,8.37817063797079
AOTVF,Cambria Gold Mines Inc.,1.08,USD,9.819824308618118,27517,0.5303336918101541,32131732.34899329,USD,-1175.7180856635032,Non-energy minerals,Buy,1.1286675457116686,1.1342647967860273,1.2838437191783978,-3.999999999999994
POM,POMDOCTOR LIMITED,0.245,USD,-9.023393984404006,218502,1.0707622826580732,32098456,USD,,Distribution services,No rating,0.42567898043259284,1.022767897422404,1.99369696969697,6.521739130434775
FOXX,Foxx Development Holdings Inc.,4.58,USD,-1.716738197424894,38772,2.909762247838617,32083772.755364805,USD,-1724.6535375638218,Distribution services,No rating,4.7828492920058485,4.679242422682624,4.65941031029556,-3.983228511530388
ETST,"Earth Science Tech, Inc.",0.11,USD,0,43382,0.5768499434878,32053404.999999996,USD,60.00000000000001,Health technology,No rating,0.12810041251298232,0.13574660484946988,0.14404095837430492,-7.563025210084029
BLIV,BeLive Holdings,2.95,USD,-0.33783783783783067,13876,0.7334076818587836,32051164.98310811,USD,-47.69174845510722,Technology services,No rating,3.2110300494034982,3.2808387641218695,3.3709947612107167,3.1468531468531578
