Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Sector,Analyst Rating,Exponential Moving Average (8) 1 week,Exponential Moving Average (13) 1 week,Exponential Moving Average (21) 1 week,Change from Open % 1 week,Performance % 1 month,PE Ratio TTM,EPS Forecast Next Qtr
SPY,SPDR S&P 500 ETF TRUST,668.04,USD,-0.40996437036926614,4912816,0.05373167386954536,0,USD,Miscellaneous,,676.5589915005936,678.1591555136331,674.9668803275331,-0.05086926598641967,-2.0023764467720064,,
QQQ,"Invesco QQQ Trust, Series 1",601.03,USD,-0.3779151679899178,3868735,0.05564312905119507,0,USD,Miscellaneous,,604.5887970508122,606.6743293277797,604.4415937081981,0.16498900073328598,0.0999283846576658,,
