Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Sector,Analyst Rating,Exponential Moving Average (8) 1 week,Exponential Moving Average (13) 1 week,Exponential Moving Average (21) 1 week,Change from Open % 1 week,Performance % 1 month
PSX,Phillips 66,172.74,USD,-0.775460968464584,3607148,0.9304080256019625,69224523965.99998,USD,Energy minerals,Buy,157.7443975669089,152.3026373508458,146.66669009697102,2.809189382216402,8.31452219714072
VLO,Valero Energy Corporation,230.59,USD,-2.2136465798736267,4087937,0.8367202125367631,68952453729.0,USD,Energy minerals,Buy,207.07156215679709,198.06420490404813,188.1313812621794,1.8642046207536327,13.496087020721573
AON,Aon plc,321.41,USD,1.7410021841663763,1124111,0.7551634408002599,68863540061.0,USD,Finance,Buy,334.0399511524147,337.72457426052426,342.1044818380282,-5.896647635778066,1.9313713053406165
TDG,Transdigm Group Inc.,1214.66,USD,-0.9209184713895316,463859,1.3860091241464787,68596181358.0,USD,Electronic technology,Strong buy,1301.894656974315,1317.3649284073908,1329.8404760652268,-5.680185741685487,-7.595986337114203
COR,"Cencora, Inc.",349.95,USD,-0.7656316461080359,1026738,0.9840690607467396,68076015738.99999,USD,Distribution services,Strong buy,356.8806934885733,353.7487439671599,346.7571113882516,-2.2759005864283814,-2.9157188037507606
NU,Nu Holdings Ltd.,13.89,USD,-0.5726556907659275,55098282,0.8644828547425593,67445309305.00001,USD,Finance,Strong buy,15.724939091529036,16.031925696915568,15.979627484965908,-3.6086051353226893,-22.596823627751462
WBD,"Warner Bros. Discovery, Inc. - Series A",27.14,USD,-1.057236602260296,26623772,0.9831503485206252,67305283578.999985,USD,Consumer services,Buy,27.774865578305537,27.226800623203548,25.676653466453,-2.549371633752247,-3.1060335594430595
LHX,"L3Harris Technologies, Inc.",358.96,USD,0.3017771319995485,1135593,0.7285234068776986,67045204828.99999,USD,Electronic technology,Strong buy,351.70045480257187,340.93475436907875,326.53528308847626,-1.9234972677595683,4.007185698142724
SLB,SLB Limited,44.72,USD,0.3590664272890408,16897204,0.8566975194548526,66871228427.0,USD,Industrial services,Strong buy,47.34532099824135,46.004210959812106,43.93325469213375,-4.58715596330275,-12.399608227228203
HLT,Hilton Worldwide Holdings Inc.,291.55,USD,-0.9243212016175522,1530945,0.6961691088710729,66849966306.0,USD,Consumer services,Buy,301.82444804448784,298.8226550143499,292.77594501457565,-0.8603101196953117,-9.388985579313768
ROST,"Ross Stores, Inc.",206.28,USD,-1.6965306900495625,2583174,0.743330739380676,66720223126.0,USD,Retail trade,Strong buy,200.14615709808723,194.1614799012673,185.8496955062277,-1.7597333015835188,6.52207591014717
CRH,CRH PLC,99.82,USD,0.09024365787625509,6096185,0.9798164262910457,66704793999.0,USD,Non-energy minerals,Strong buy,115.32261932976117,117.55249999009837,117.48960010832761,-3.0685570013594976,-23.058542413381133
MPC,Marathon Petroleum Corporation,226.18,USD,-1.699335042809334,2613162,0.8040912630392101,66664323345.0,USD,Energy minerals,Buy,204.13372923035067,197.63685718336595,191.96046451258087,1.171944891751657,9.54618104325084
HOOD,"Robinhood Markets, Inc.",73.39,USD,-3.586442459274834,33417497,1.1621826594624909,66073630172.00001,USD,Finance,Strong buy,83.92853772755863,91.5743371277717,97.79564815833066,-3.3324552160168617,-5.759229534510433
CVNA,Carvana Co.,300.15,USD,2.5662930563149233,3194277,1.1911608168178516,65686387262.0,USD,Retail trade,Strong buy,349.4000824920179,363.6249181079775,367.4891498898238,-4.071718495317846,-23.819796954314725
GM,General Motors Company,72.39,USD,-1.4431586113002073,7229709,0.8868789225501134,65438235404.0,USD,Consumer durables,Strong buy,77.89262639964298,77.70472326827178,75.40369535893356,-1.3760217983651295,-10.063361908311585
TRV,"The Travelers Companies, Inc.",302.49,USD,0.15893513459819814,1121499,0.7754749987398087,65409800192.99999,USD,Finance,Buy,298.88759431953815,294.73364712865856,289.8094507016072,-0.6176692840950144,1.5339688506981717
NSC,Norfolk Southern Corporation,289.37,USD,-0.648904758634892,745256,0.5380697238888833,64984409176.0,USD,Transportation,Buy,301.1339275436226,298.9745182648929,294.7958784536819,-3.440336358782702,-8.267554287525751
HKXCF,Hong Kong Exchange & Clearing Ltd.,51.25,USD,-3.309184212512259,3302,1.2091251968215606,64853326803.1577,USD,Finance,Strong buy,52.96092955281226,53.2482920310104,53.35215439431106,-3.4839924670433167,-0.6936909006355546
ET/PI,Energy Transfer L.P. Series I Fixed Rate Perpetual Preferred,11.93,USD,-0.5833333333333357,17241,0.36391152650342257,64505895996.0,USD,Industrial services,,11.890575912876034,11.80471735746733,11.722458628698055,-2.8501628664495087,1.9658119658119695
ET,Energy Transfer LP,18.75,USD,1.023706896551731,16727405,1.0978796635144297,64505895996.0,USD,Industrial services,Strong buy,18.42919833362891,18.104909270965056,17.815178277173462,1.2965964343597969,2.6272577996715953
ELV,"Elevance Health, Inc.",291.63,USD,1.2991072979262945,2364888,0.748141760375201,64364102863.0,USD,Health services,Buy,322.17568295670833,329.89334942000363,334.79655254714584,1.6132404181184654,-10.26769230769231
CNI,Canadian National Railway Company,105.02,USD,1.1266249398170456,1689953,0.8622962373039931,64209228114.49302,USD,Transportation,Buy,105.34091465877714,103.60576286536681,101.88939824904493,-0.32270311313591815,-1.3062682078752004
SNGNF,Singapore Telecommunications Ltd.,3.89,USD,0,3500,0.29453345900094247,64154617466.35685,USD,Communications,Strong buy,3.8425350997126286,3.760152033443319,3.639008629699956,5.706521739130434,2.4358130348913827
TCANF,TC Energy Corp.,14.33,USD,165.8627087198516,1000,2.914602156805596,64137500000.0,USD,Industrial services,,10.086808497345725,10.114675810069482,9.934804946935456,0,165.8627087198516
