Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Sector,Analyst Rating,Exponential Moving Average (8) 1 week,Exponential Moving Average (13) 1 week,Exponential Moving Average (21) 1 week,Change from Open % 1 week,Performance % 1 month,Performance % YTD,SMA 5,SMA 20,SMA 50,SMA 200,PE Ratio TTM,EPS Forecast Next Qtr,EPS Growth YoY TTM
NVDA,NVIDIA Corporation,219.295,USD,-2.539887116128174,37046176,0.3696764828641521,5306938870441.399,USD,Electronic technology,Strong buy,213.55094796424893,210.08779247001553,205.61949046263257,-2.958226391716082,8.219009080142124,15.518739958384902,223.77099999999987,212.08174999999991,206.93049999999977,195.10092500000007,33.583723850653925,2.085004,110.33338701884364
AAPL,Apple Inc.,310.9,USD,1.7376223043947783,16877788,0.45046808460257504,4537330410469.951,USD,Electronic technology,Buy,311.0536586456772,307.0033421963433,299.462135403343,1.531628620881094,-6.349780107235388,14.194413325742405,305.9860000000003,316.53649999999993,309.1491999999999,280.8728499999998,35.6401820412,1.984827,32.60922440789274
GOOG,Alphabet Inc.,340.91,USD,-0.15814907014203064,4050653,0.2715702651546638,4186394985494.2627,USD,Technology services,Strong buy,346.81199455623124,347.74247195238473,344.0316256377729,-0.9155379875603026,-1.4055586083234395,7.342800466009652,342.4420000000001,344.68450000000007,351.25239999999985,331.1933,17.126594424600484,3.016617,112.01789423230548
GOOGL,Alphabet Inc.,343.02,USD,-0.28488372093023784,5783642,0.25845476107718707,4181080968360.097,USD,Technology services,Strong buy,348.39262054224594,349.391078592571,345.61922703998505,-0.9371435172483517,-0.8612716763005833,8.242347743767752,344.56399999999985,345.8034999999999,352.82039999999967,332.1003000000001,17.23259634368736,3.018029,112.01789423230548
MSFT,Microsoft Corporation,481.92,USD,0.3268450088477137,6216330,0.24281965780464154,3578518889532.0767,USD,Technology services,Strong buy,451.7118291773579,437.6853475190842,430.2627231463264,-1.677071857020437,22.049866406655607,-0.5088927196341702,489.39599999999984,458.3524999999996,415.12660000000017,431.8737500000005,26.85479287171086,4.709334,31.54908515130189
AMZN,"Amazon.com, Inc.",260.72,USD,-0.2257854655390054,10742160,0.3364572873913906,2812207877944.115,USD,Retail trade,Strong buy,257.4737729638901,253.98600563515254,249.44566284437812,-1.7781796262808809,6.651394911232929,12.699922192444031,263.41800000000023,257.7439999999998,248.6108000000002,238.0148500000002,20.970673873526053,1.96137,89.7295812477109
AVGO,Broadcom Inc.,377.95,USD,-3.6898300333817544,6961670,0.4446630463851786,1798127356967.493,USD,Electronic technology,Strong buy,390.9012488085393,389.7512549451235,384.63761287964064,-4.860796455721694,3.2523323635072114,7.13627666359578,399.448,399.77424999999965,389.7795999999994,369.2560750000001,62.91826202763443,3.214218,125.81008946695735
META,"Meta Platforms, Inc.",552.65,USD,-2.8683410373130482,11036474,0.8590948620907606,1407879192444.3933,USD,Technology services,Strong buy,585.8358896793806,593.001588129877,602.3017404786166,-6.290801186943624,-14.675003859811651,-16.609453393187223,577.102,586.2795000000006,595.1548000000004,625.7269000000005,20.817245938442877,6.753142,-3.857269092594742
TSLA,"Tesla, Inc.",336.245,USD,-0.9003831417624542,11987358,0.4180391591012058,1328015587479.4211,USD,Consumer durables,Buy,348.81464298266974,360.8112826803843,372.61536806082194,-1.3047051571810129,-11.927026035936919,-26.551987767584098,337.0569999999995,325.4917500000002,368.4072999999997,404.84685000000025,312.4082504877822,0.455503,-37.67083622886263
LLY,Eli Lilly and Company,1213.85,USD,2.5939010784678174,608905,0.2311817810054119,1142666295027.931,USD,Health technology,Strong buy,1177.0430073640912,1152.317217221762,1116.4224927851103,3.288801906058531,4.692331244690346,12.769416573764381,1201.2899999999997,1185.7444999999998,1172.3462000000002,1047.0423499999995,41.24658926028999,9.846342,95.1428306190653
