Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Sector,Analyst Rating,Exponential Moving Average (8) 1 week,Exponential Moving Average (13) 1 week,Exponential Moving Average (21) 1 week,Change from Open % 1 week,Performance % 1 month,Performance % YTD,SMA 5,SMA 20,SMA 50,SMA 200,PE Ratio TTM,EPS Forecast Next Qtr,EPS Growth YoY TTM
NVDA,NVIDIA Corporation,211.8,USD,4.0632830540952245,123883284,0.9102722858564003,5125559969258.666,USD,Electronic technology,Strong buy,205.71809171488346,203.7501901694749,200.0280813622471,1.5632492567373262,3.3876793908034744,11.570574446229623,206.63799999999992,202.21499999999997,209.3291999999998,191.97010000000003,32.43590921620877,2.077102,110.33338701884364
AAPL,Apple Inc.,314.86,USD,-0.7721155967350505,36218902,0.7419897119167831,4624461014789.851,USD,Electronic technology,Buy,303.52564331209453,297.24503464979404,289.13721805207433,-0.6797785593741534,6.3608418065736725,15.648932067363324,315.42000000000024,300.3734999999999,299.5814,273.07709999999986,38.088671142563356,1.891523,29.004822172630675
GOOGL,Alphabet Inc.,359.51,USD,1.985759269240589,18214316,0.7652994429179739,4366502229591.39,USD,Technology services,Strong buy,359.4861066724297,356.62013347548105,347.50195495834816,0.932086807602682,-0.8576471237107753,13.445881981697703,358.0019999999998,357.61299999999994,372.2913999999997,319.97715000000017,27.424460870692876,2.871095,46.187815730487436
GOOG,Alphabet Inc.,357.33,USD,1.899221490290007,11213637,0.6973190405042045,4362797129904.5405,USD,Technology services,Strong buy,357.0599851844674,354.30988743250504,345.53728721498055,0.9435294782338413,-1.0440321240653665,12.51298844422054,355.5960000000001,355.4865000000001,369.51259999999985,319.2901,27.25816417603039,2.870424,46.187815730487436
MSFT,Microsoft Corporation,384.93,USD,-1.549911762449168,27772822,0.8241000382970255,2859427247731.266,USD,Technology services,Strong buy,392.04478484390944,397.4224274374033,405.8505992362083,-0.7259925982282164,-1.6605778811026237,-20.532221270270547,385.7439999999999,380.25499999999965,402.48940000000016,441.0612500000004,22.92600997016099,4.240333,29.74746147782946
AMZN,"Amazon.com, Inc.",247.49,USD,0.07278314665804328,30019956,0.7274078682307596,2662276972937.3853,USD,Retail trade,Strong buy,245.88664073635124,245.22671805133126,242.33076063113577,1.1484387771783562,1.7597960610172283,6.981066828045303,246.16000000000017,240.92849999999981,253.36860000000027,233.60260000000014,29.576825172986606,1.812569,36.47513577870922
AVGO,Broadcom Inc.,389.11,USD,1.3175367790652264,20078921,0.8299107320217581,1851221925358.141,USD,Electronic technology,Strong buy,389.56095699582147,387.92459808639836,380.7106061460628,-1.1093462100514668,1.4046700719274434,10.299766139890876,392.58600000000007,383.03899999999953,405.45599999999945,362.92102500000016,64.77609455635093,3.212946,125.81008946695735
META,"Meta Platforms, Inc.",661.04,USD,0.6562818814428982,16718907,0.7017177477833336,1677999173410.3577,USD,Technology services,Strong buy,617.7162319079994,615.3387042896069,619.5556181945805,-0.051407662765737064,15.374814556243987,-0.2542532724735085,644.3159999999998,593.7240000000005,601.1800000000001,641.7264750000003,24.032050489700655,7.180141,7.29342195593833
TSLA,"Tesla, Inc.",396.18,USD,0.3597122302158314,23288809,0.5663414148387717,1487942625656.5254,USD,Consumer durables,Buy,399.6064674861202,400.4151686703508,401.4152744201798,-2.083487803069624,-0.8285564094220136,-13.46002621231979,399.86199999999945,400.14350000000013,409.9265999999994,417.7513750000003,361.94043486205004,0.510674,-39.80422349318082
MU,"Micron Technology, Inc.",983.12,USD,4.922091782283886,30535851,0.7157242818415032,1110328911445.673,USD,Electronic technology,Strong buy,952.3054815523458,870.8994493647973,757.8424140068249,5.825618945102261,1.163807740196135,233.11986446421008,967.972,1050.6940000000002,916.7373999999998,472.44355000000024,22.25658277510012,31.098032,697.287150515315
