Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Sector,Analyst Rating,Exponential Moving Average (8) 1 week,Exponential Moving Average (13) 1 week,Exponential Moving Average (21) 1 week,Change from Open % 1 week,Performance % 1 month,Performance % YTD,SMA 5,SMA 20,SMA 50,SMA 200,PE Ratio TTM,EPS Forecast Next Qtr,EPS Growth YoY TTM
NVDA,NVIDIA Corporation,214.75,USD,-3.621757472399243,160172923,0.83834589859807,5196950170826.58,USD,Electronic technology,Strong buy,208.82982399760158,203.3195497217931,197.31906217345653,-0.45427154313261475,7.644110275689223,13.124555535069923,217.46399999999994,218.88299999999998,202.04939999999985,188.24255000000002,32.88768415571687,2.071441,110.33338701884364
AAPL,Apple Inc.,310.26,USD,-1.5672588832487302,50722583,1.0446879268576241,4556899387202.226,USD,Electronic technology,Strong buy,295.3826129955353,286.64752654870705,278.30502163500546,0.20508679854662604,10.943841519014507,13.959339589722868,311.2680000000002,302.0724999999999,278.9522,264.4077499999999,37.53220831065142,1.884595,29.004822172630675
GOOG,Alphabet Inc.,355.68,USD,-0.7561594910572225,42993212,1.7533856718122403,4332328663781.7837,USD,Technology services,Strong buy,363.09892346232067,352.31680676754934,337.55407430949447,-4.5346574515198235,-6.967984934086625,11.99345067539911,369.84000000000003,384.612,348.71619999999996,302.0384,27.13229741172163,2.877605,46.187815730487436
GOOGL,Alphabet Inc.,358.99,USD,-0.790382755285343,55388918,1.677629493446795,4330834702767.948,USD,Technology services,Strong buy,366.12728893660557,354.80651342592023,339.3799582906936,-4.655795176883027,-6.908176231102349,13.281792363521628,373.5359999999997,388.1410000000001,351.3151999999996,302.3632000000001,27.384793769213754,2.87812,46.187815730487436
MSFT,Microsoft Corporation,427.34,USD,-3.1655752192336517,38981662,0.9808537780898048,3174467211715.8306,USD,Technology services,Strong buy,421.95098686213396,419.25160943648785,423.6716520034964,-8.06729197143103,3.8392379841570574,-11.776789124353567,441.2799999999999,422.0809999999997,406.3312000000001,457.29115000000064,25.45190320486477,4.240016,29.74746147782946
AMZN,"Amazon.com, Inc.",250.02,USD,-2.533915484172763,51277338,1.2235402310628667,2689492370751.107,USD,Retail trade,Strong buy,256.4226972284839,249.74255405566424,242.69494351718276,-6.108117242803768,-6.98487695083614,8.074695253739089,262.4880000000002,266.4354999999999,249.54020000000028,231.9267000000001,29.87917826881939,1.813765,36.47513577870922
AVGO,Broadcom Inc.,479.23,USD,-0.4859106671927186,49125125,1.8663537157522447,2268994965173.6206,USD,Electronic technology,Strong buy,426.0690415098653,406.02367342698784,386.12708482472516,6.474260703414883,14.589385842210358,35.845794061370576,458.82400000000007,430.68699999999956,395.0568999999994,354.7742750000001,93.4827559300874,3.157226,147.2579945015193
TSLA,"Tesla, Inc.",423.7,USD,-0.009439750790583958,44369080,1.0348396474904287,1591300066549.1494,USD,Consumer durables,Buy,414.8083576907401,409.86776256701546,407.58904045981535,-0.8865704460923111,8.57699305537759,-7.448667540410664,428.24199999999945,425.9255,394.4791999999996,413.4169250000003,387.08203910104146,0.441889,-39.80422349318082
META,"Meta Platforms, Inc.",622.98,USD,4.24175493198133,22993626,1.2860821072804232,1581386852052.7942,USD,Technology services,Strong buy,623.0645865552729,625.3470967040704,631.5093959298637,-1.1770304568527854,2.474771151521145,-5.997208495228036,617.7759999999996,613.1732500000006,618.8650000000002,663.9396000000004,22.648382570001385,7.178764,7.29342195593833
MU,"Micron Technology, Inc.",1079.57,USD,1.4538107320740559,40109452,0.7710181175374492,1217467775935.6973,USD,Electronic technology,Strong buy,773.9383534401691,671.1835912338126,570.6897903167084,6.9177593788376885,92.57402782732784,265.8009318085557,1014.7379999999999,822.4795,595.7117999999998,352.78235,50.96807089272141,19.552137,409.11691183540046
