Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Sector,Analyst Rating,Exponential Moving Average (8) 1 week,Exponential Moving Average (13) 1 week,Exponential Moving Average (21) 1 week,Change from Open % 1 week,Performance % 1 month,PE Ratio TTM,EPS Forecast Next Qtr
NVDA,NVIDIA Corporation,176.975,USD,-1.8985587583148622,8177443,0.04639329932189907,4300492354500.8467,USD,Electronic technology,Strong buy,181.2018861014132,182.16104455209245,181.3001182933315,-3.276493414220913,-5.600746766235498,36.10555736902236,1.763872
GOOGL,Alphabet Inc.,302.7,USD,-1.6217621632162271,1642984,0.0651692070284789,3654325616770.6533,USD,Technology services,Strong buy,308.47530279947154,307.70565755089183,298.8601362976442,-0.5421389847215489,-1.6329514989032525,28.01247466661731,2.603706
GOOG,Alphabet Inc.,301.185,USD,-1.6699314397649392,594290,0.036415085255901515,3652536336690.995,USD,Technology services,Strong buy,308.06028472923566,307.57985377974404,298.9943009715125,-0.7954545454545522,-2.2078997353767265,27.872273480228394,2.604729
AAPL,Apple Inc.,247.745,USD,-0.8782107705849376,1753153,0.04820015382672834,3637178977729.9067,USD,Electronic technology,Strong buy,256.91728893525794,258.8418454753416,257.97117956573766,-1.7294381309375002,-5.444448685164684,31.345049216832408,1.946418
MSFT,Microsoft Corporation,389.36,USD,-0.6202302253758408,1672098,0.05737048462935109,2891242933995.2686,USD,Technology services,Strong buy,408.60084007902316,423.5932354460411,440.1540316224395,-2.188057376843264,-3.73099270614414,24.361035857072245,4.045793
AMZN,"Amazon.com, Inc.",206.3,USD,-1.7010530328298437,1616439,0.036599996353674155,2214614129822.2207,USD,Retail trade,Strong buy,213.04618552808398,216.99518699353814,219.93236881987823,-0.9839212862970881,3.7308930008045134,28.76383815286802,1.621427
META,"Meta Platforms, Inc.",608.83,USD,-1.1125909563409415,985351,0.0778247754469026,1540069226531.0598,USD,Technology services,Strong buy,636.6365612881671,644.6517701684672,653.4194086289085,-3.6661392405063227,-5.622384126492014,25.917695788581963,6.626449
AVGO,Broadcom Inc.,309.62,USD,-1.9972778780109526,833020,0.0246441585068183,1465947862498.8071,USD,Electronic technology,Strong buy,325.2279647414793,329.9518543108813,330.64918516564785,-5.030366235200288,-6.133090798847967,60.39715980024968,2.382878
TSLA,"Tesla, Inc.",382.885,USD,-2.5192219563114167,3204867,0.05524710808216526,1436749877733.6309,USD,Consumer durables,Buy,404.4251171305608,411.9436894117379,412.686168304326,-3.365554489929846,-7.583784892772237,355.84107806691446,0.408107
BRK.A,Berkshire Hathaway Inc.,726540.0,USD,-1.6048949391120886,194,1.2508059316569955,1045079701813.0,USD,Finance,Buy,740753.3312054569,742287.7996787959,742794.6560147626,-1.9797251535993654,-2.8431373742060084,15.603371044594084,7756.953898
BRK.B,Berkshire Hathaway Inc. New,483.305,USD,-0.2404689660866556,93883,0.01952681394311398,1042566609459.2688,USD,Finance,Buy,493.42885935949084,494.4522051077362,494.8153849859987,-1.9207743977920684,-3.3679896031190584,15.569389858900843,5.173888
