Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Sector,Analyst Rating,Exponential Moving Average (8) 1 week,Exponential Moving Average (13) 1 week,Exponential Moving Average (21) 1 week,Change from Open % 1 week,Performance % 1 month
SPY,SPDR S&P 500 ETF TRUST,677.6801,USD,-1.0873702800928229,61549189,0.7707598704239788,0,USD,Miscellaneous,,684.9430716642465,683.5287854808578,677.4783524690423,-0.15027257993222437,-2.661538903491762
QQQ,"Invesco QQQ Trust, Series 1",604.27,USD,-1.0609905853458892,59415328,0.8437077322634086,0,USD,Miscellaneous,,610.0059252835422,610.5766069818587,606.2999374778287,0.9033830945462993,-3.8246060798981336
