Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Sector,Analyst Rating,Exponential Moving Average (8) 1 week,Exponential Moving Average (13) 1 week,Exponential Moving Average (21) 1 week,Change from Open % 1 week,Performance % 1 month,Performance % YTD,SMA 5,SMA 20,SMA 50,SMA 200,PE Ratio TTM,EPS Forecast Next Qtr,EPS Growth YoY TTM
NVDA,NVIDIA Corporation,225.54,USD,2.1559923906150877,12611604,0.08246700119297741,5480621969697.468,USD,Electronic technology,Strong buy,203.37676554851444,197.23557465742408,191.90852175287066,5.375289088233231,21.238509917755195,18.80843890747227,218.49199999999996,207.23499999999999,191.17179999999982,185.4397,46.01354659702954,1.743687,66.7494471848954
AAPL,Apple Inc.,294.7,USD,-0.03392130257802671,3543387,0.065371297630794,4328363765205.285,USD,Electronic technology,Strong buy,277.1614460199893,271.8642666954005,267.17119652346497,0.9319163364488556,13.463981827282167,8.244109382747789,292.5880000000002,278.0999999999999,264.59420000000006,258.22124999999994,35.64991229661888,1.881158,29.004822172630675
MSFT,Microsoft Corporation,402.49,USD,-1.294847585648766,1490579,0.040593014398264016,2989870549650.4927,USD,Technology services,Strong buy,405.66207476594127,408.72910995833814,419.0490651802901,-1.3190477357981698,7.731427577254049,-16.907005790848185,411.7619999999999,417.85449999999963,398.70100000000025,464.09125000000046,23.97186437245758,4.239569,29.74746147782946
AMZN,"Amazon.com, Inc.",264.085,USD,-0.6526973139718658,1581759,0.0313040534236815,2840791307570.131,USD,Retail trade,Strong buy,251.38400599808327,242.84545786220227,236.36714982137028,-2.1309318657698224,11.21709833649189,14.154491225036733,268.54900000000026,262.6697499999999,234.67510000000024,229.03647500000002,31.560046368775172,1.817073,36.47513577870922
AVGO,Broadcom Inc.,413.72,USD,-1.330789410922963,793018,0.04221063231034098,1958826775004.5166,USD,Electronic technology,Strong buy,394.2159252822243,378.5024933189138,364.34689262898183,-3.249418285139666,11.919060758534869,17.275884062079246,420.80200000000013,415.3829999999995,365.04769999999945,345.48692500000004,80.70380774032459,2.385291,147.2579945015193
TSLA,"Tesla, Inc.",438.2601,USD,1.1097243049948171,2619485,0.04515665735741174,1645983861243.9604,USD,Consumer durables,Buy,403.2608174308215,401.28767164246307,402.15178557928687,3.813743604320636,25.193921128933205,-4.268217562254257,431.3700199999994,397.168505,385.5583019999997,406.2339755000002,400.38379316645353,0.443763,-39.80422349318082
META,"Meta Platforms, Inc.",599.65,USD,-0.5555555555555594,545546,0.0273369904553442,1521938930199.9775,USD,Technology services,Strong buy,620.053246643714,624.9229491974029,633.2308714371939,-0.8138015448996927,-4.741858617950758,-9.517522350899702,605.5899999999997,640.5002500000006,623.4439000000001,674.1510250000006,21.800222492056452,7.19577,7.29342195593833
BRK.A,Berkshire Hathaway Inc.,724790.07,USD,-0.5092560054907413,2,0.011242270938729622,1041208181777.2126,USD,Finance,Buy,718828.9312891522,722574.0789082054,727361.8531483765,1.2276634078212219,0.70724885368903,-3.361324000000007,721585.3739999993,711329.2825000001,719645.6942000007,734957.3651499997,14.383679182405233,7377.538981,-10.480948284775364
BRK.B,Berkshire Hathaway Inc. New,482.395,USD,-0.5289096007918174,175354,0.03365260195272757,1041002499485.5018,USD,Finance,Buy,478.48429467048675,481.1292726039248,484.42362902400515,1.2583963056255258,0.7297974524953027,-3.7058847013733627,479.58499999999987,473.5152499999992,479.51550000000003,489.76422500000075,14.35990021790124,4.920819,-10.480916050876308
WMT,Walmart Inc.,129.415,USD,-0.7172995780590735,961621,0.06368754839917837,1031565812674.3447,USD,Retail trade,Strong buy,128.34843428123202,126.59027418302853,123.50704772760885,-0.587647872176997,2.4744635363053176,16.14538927529728,129.59699999999995,129.38375000000002,126.33170000000017,113.72557500000002,47.40997179177199,0.657713,13.38317757009344
LLY,Eli Lilly and Company,993.8,USD,0.3970218311495398,85190,0.020943444782911446,935902592783.3325,USD,Health technology,Strong buy,954.2972357438484,959.452310806444,960.2793508285264,4.720758693361429,5.726778514207893,-7.673727238944643,974.8139999999996,934.318,939.2392000000017,918.945349999999,35.77265037255678,8.810395,130.14091274344932
MU,"Micron Technology, Inc.",798.015,USD,4.100680946541776,6677202,0.12447653533190604,899948675086.5869,USD,Electronic technology,Strong buy,580.051369264966,517.4185797304127,453.71832272972074,0.6343161239879912,91.61404182774267,170.3989834815756,750.6730000000001,575.9652500000001,472.0682999999998,300.729125,37.675449571083924,19.350774,409.11691183540046
