Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Sector,Analyst Rating,Exponential Moving Average (8) 1 week,Exponential Moving Average (13) 1 week,Exponential Moving Average (21) 1 week,Change from Open % 1 week,Performance % 1 month,Performance % YTD,SMA 5,SMA 20,SMA 50,SMA 200,PE Ratio TTM,EPS Forecast Next Qtr,EPS Growth YoY TTM
NVDA,NVIDIA Corporation,208.68,USD,1.7454900048756765,87427706,0.4800051781086795,5050056150283.176,USD,Electronic technology,Strong buy,207.12862854134443,202.90369567990427,197.55435404198528,-0.7136739937196688,-2.0419659202929137,9.927041904812073,214.00199999999995,218.77850000000004,204.19579999999985,188.73950000000002,31.958099788661215,2.07486,110.33338701884364
AAPL,Apple Inc.,308.77,USD,0.4652827487473179,34736283,0.7037849345097043,4535014995582.539,USD,Electronic technology,Strong buy,297.7651187496139,289.39390030705505,280.7973337177736,-0.1178989372900657,6.4687424571566465,13.412058548052373,310.5600000000003,305.0259999999999,282.356,265.6071499999999,37.351962741184295,1.888622,29.004822172630675
GOOGL,Alphabet Inc.,364.0,USD,-1.2292079342251576,16123465,0.4620085359740238,4395337805733.5693,USD,Technology services,Strong buy,367.311224728471,357.2930319160949,342.40975547087845,-0.31354400569581625,-8.312342569269521,14.862732723256554,365.11199999999974,383.53550000000007,356.1637999999996,304.8648500000001,27.76697103538763,2.876398,46.187815730487436
GOOG,Alphabet Inc.,361.125,USD,-1.2672244094488165,11606184,0.43051961632682234,4393646058129.8853,USD,Technology services,Strong buy,364.40249602624937,354.80940580075656,340.52994358714375,-0.3751879388112649,-8.406675628376489,13.707925312509849,362.045,380.04525,353.4487,304.484325,27.547657733940547,2.875856,46.187815730487436
MSFT,Microsoft Corporation,410.385,USD,-1.5083879328965428,16255875,0.4155821857148144,3048518219380.0156,USD,Technology services,Strong buy,417.5376811396844,416.6791346190304,421.58241091226944,-0.9066982179939141,-1.6759107299016507,-15.276071719809655,424.75199999999995,422.34399999999977,409.2384000000002,455.90375000000057,24.44208194114389,4.240016,29.74746147782946
AMZN,"Amazon.com, Inc.",244.97,USD,-0.43084176726415574,18126416,0.42468019522488876,2635169070519.0747,USD,Retail trade,Strong buy,253.18802377030232,248.57218919056936,242.57201476768682,-0.6932057726609405,-9.814821632367558,5.891761044350305,250.26600000000022,262.73299999999983,251.90620000000027,232.2341000000001,29.275667148678853,1.813765,36.47513577870922
AVGO,Broadcom Inc.,394.335,USD,2.230835040053914,18259584,0.49745536249864153,1867045346634.508,USD,Electronic technology,Strong buy,402.8565384582903,392.90488334558137,379.1459862042956,-2.0577715960459058,-6.065983801810393,11.780880164410744,431.9550000000001,427.23574999999965,400.1060999999994,356.3099500000002,65.63935681470137,3.207,125.83264416209308
TSLA,"Tesla, Inc.",409.9143,USD,4.837416879795403,31918605,0.7621475566254302,1539524823938.1206,USD,Consumer durables,Buy,408.06893746316825,405.8703291390745,405.09794835189825,3.427522519112871,-1.5752926346119207,-10.459960681520311,413.36085999999943,424.950215,396.04468599999956,414.5718965000002,374.4877580851453,0.44496,-39.80422349318082
META,"Meta Platforms, Inc.",586.65,USD,-1.0708263069140005,8638745,0.42873404504193774,1489165926959.904,USD,Technology services,Strong buy,609.8129500368171,616.1622053381828,624.9626739858264,-0.90371621621622,-4.624512353706119,-11.464031083782869,605.5859999999997,611.5732500000006,620.3044000000002,661.6433500000004,21.327608646652077,7.178764,7.29342195593833
LLY,Eli Lilly and Company,1162.6,USD,2.7558289583001745,2484820,0.7583316471820827,1094868587239.7567,USD,Health technology,Strong buy,1063.9387106841575,1035.1596265625071,1011.532094747241,0.31061259706642874,19.354871826460094,8.008175399479729,1112.4439999999997,1057.1565000000003,978.3351999999999,949.9038999999991,41.84874554551672,8.810915,130.14091274344932
